回测开始
===========================================
板块: 西藏板块, 止盈率: 1.1, 止损率: 0.9, 均线: ma20, 盈利: 739.00, 收益率: 0.74%
板块: 西藏板块, 止盈率: 1.1, 止损率: 0.9, 均线: ma5, 盈利: 739.00, 收益率: 0.74%
板块: 西藏板块, 止盈率: 1.1, 止损率: 0.9, 均线: ma10, 盈利: 739.00, 收益率: 0.74%
板块: 西藏板块, 止盈率: 1.1, 止损率: 0.9, 均线: ma45, 盈利: 739.00, 收益率: 0.74%
板块: 西藏板块, 止盈率: 1.1, 止损率: 0.9, 均线: ma30, 盈利: 739.00, 收益率: 0.74%
板块: 西藏板块, 止盈率: 1.1, 止损率: 0.9, 均线: ma60, 盈利: 739.00, 收益率: 0.74%
板块: 西藏板块, 止盈率: 1.1, 止损率: 0.85, 均线: ma10, 盈利: 291.00, 收益率: 0.29%
板块: 西藏板块, 止盈率: 1.1, 止损率: 0.85, 均线: ma20, 盈利: 291.00, 收益率: 0.29%
板块: 西藏板块, 止盈率: 1.1, 止损率: 0.85, 均线: ma5, 盈利: 291.00, 收益率: 0.29%
板块: 西藏板块, 止盈率: 1.1, 止损率: 0.8, 均线: ma30, 盈利: 179.00, 收益率: 0.18%
板块: 西藏板块, 止盈率: 1.1, 止损率: 0.85, 均线: ma45, 盈利: 291.00, 收益率: 0.29%
板块: 西藏板块, 止盈率: 1.1, 止损率: 0.85, 均线: ma60, 盈利: 291.00, 收益率: 0.29%
板块: 西藏板块, 止盈率: 1.1, 止损率: 0.85, 均线: ma30, 盈利: 291.00, 收益率: 0.29%
板块: 西藏板块, 止盈率: 1.1, 止损率: 0.8, 均线: ma10, 盈利: 179.00, 收益率: 0.18%
板块: 西藏板块, 止盈率: 1.1, 止损率: 0.8, 均线: ma5, 盈利: 179.00, 收益率: 0.18%
板块: 西藏板块, 止盈率: 1.1, 止损率: 0.8, 均线: ma45, 盈利: 179.00, 收益率: 0.18%
板块: 西藏板块, 止盈率: 1.1, 止损率: 0.8, 均线: ma20, 盈利: 179.00, 收益率: 0.18%
板块: 西藏板块, 止盈率: 1.1, 止损率: 0.75, 均线: ma5, 盈利: 117.00, 收益率: 0.12%
板块: 西藏板块, 止盈率: 1.1, 止损率: 0.8, 均线: ma60, 盈利: 179.00, 收益率: 0.18%
板块: 西藏板块, 止盈率: 1.1, 止损率: 0.75, 均线: ma10, 盈利: 117.00, 收益率: 0.12%
板块: 西藏板块, 止盈率: 1.1, 止损率: 0.75, 均线: ma20, 盈利: 117.00, 收益率: 0.12%
板块: 西藏板块, 止盈率: 1.1, 止损率: 0.75, 均线: ma30, 盈利: 117.00, 收益率: 0.12%
板块: 西藏板块, 止盈率: 1.1, 止损率: 0.75, 均线: ma45, 盈利: 117.00, 收益率: 0.12%
板块: 西藏板块, 止盈率: 1.1, 止损率: 0.7, 均线: ma20, 盈利: 131.00, 收益率: 0.13%
板块: 西藏板块, 止盈率: 1.1, 止损率: 0.7, 均线: ma10, 盈利: 131.00, 收益率: 0.13%
板块: 西藏板块, 止盈率: 1.1, 止损率: 0.7, 均线: ma30, 盈利: 131.00, 收益率: 0.13%
板块: 西藏板块, 止盈率: 1.1, 止损率: 0.75, 均线: ma60, 盈利: 117.00, 收益率: 0.12%
板块: 西藏板块, 止盈率: 1.1, 止损率: 0.7, 均线: ma5, 盈利: 131.00, 收益率: 0.13%
板块: 西藏板块, 止盈率: 1.1, 止损率: 0.7, 均线: ma45, 盈利: 131.00, 收益率: 0.13%
板块: 西藏板块, 止盈率: 1.1, 止损率: 0.7, 均线: ma60, 盈利: 131.00, 收益率: 0.13%
板块: 西藏板块, 止盈率: 1.1, 止损率: 0.65, 均线: ma5, 盈利: 1.00, 收益率: 0.00%
板块: 西藏板块, 止盈率: 1.1, 止损率: 0.6, 均线: ma5, 盈利: 1.00, 收益率: 0.00%
板块: 西藏板块, 止盈率: 1.1, 止损率: 0.65, 均线: ma10, 盈利: 1.00, 收益率: 0.00%
板块: 西藏板块, 止盈率: 1.1, 止损率: 0.65, 均线: ma30, 盈利: 1.00, 收益率: 0.00%
板块: 西藏板块, 止盈率: 1.1, 止损率: 0.6, 均线: ma30, 盈利: 1.00, 收益率: 0.00%
板块: 西藏板块, 止盈率: 1.1, 止损率: 0.65, 均线: ma20, 盈利: 1.00, 收益率: 0.00%
板块: 西藏板块, 止盈率: 1.1, 止损率: 0.65, 均线: ma45, 盈利: 1.00, 收益率: 0.00%
板块: 西藏板块, 止盈率: 1.1, 止损率: 0.6, 均线: ma20, 盈利: 1.00, 收益率: 0.00%
板块: 西藏板块, 止盈率: 1.1, 止损率: 0.65, 均线: ma60, 盈利: 1.00, 收益率: 0.00%
板块: 西藏板块, 止盈率: 1.1, 止损率: 0.6, 均线: ma10, 盈利: 1.00, 收益率: 0.00%
板块: 西藏板块, 止盈率: 1.1, 止损率: 0.6, 均线: ma45, 盈利: 1.00, 收益率: 0.00%
板块: 西藏板块, 止盈率: 1.1, 止损率: 0.6, 均线: ma60, 盈利: 1.00, 收益率: 0.00%
板块: 西藏板块, 止盈率: 1.15, 止损率: 0.9, 均线: ma5, 盈利: 994.00, 收益率: 0.99%
板块: 西藏板块, 止盈率: 1.15, 止损率: 0.9, 均线: ma10, 盈利: 994.00, 收益率: 0.99%
板块: 西藏板块, 止盈率: 1.15, 止损率: 0.9, 均线: ma20, 盈利: 994.00, 收益率: 0.99%
板块: 西藏板块, 止盈率: 1.15, 止损率: 0.9, 均线: ma30, 盈利: 994.00, 收益率: 0.99%
板块: 西藏板块, 止盈率: 1.15, 止损率: 0.9, 均线: ma45, 盈利: 994.00, 收益率: 0.99%
板块: 西藏板块, 止盈率: 1.15, 止损率: 0.9, 均线: ma60, 盈利: 994.00, 收益率: 0.99%
板块: 西藏板块, 止盈率: 1.15, 止损率: 0.85, 均线: ma10, 盈利: 547.00, 收益率: 0.55%
板块: 西藏板块, 止盈率: 1.15, 止损率: 0.85, 均线: ma20, 盈利: 547.00, 收益率: 0.55%
板块: 西藏板块, 止盈率: 1.15, 止损率: 0.8, 均线: ma10, 盈利: 416.00, 收益率: 0.42%
板块: 西藏板块, 止盈率: 1.15, 止损率: 0.85, 均线: ma30, 盈利: 547.00, 收益率: 0.55%
板块: 西藏板块, 止盈率: 1.15, 止损率: 0.85, 均线: ma45, 盈利: 547.00, 收益率: 0.55%
板块: 西藏板块, 止盈率: 1.15, 止损率: 0.85, 均线: ma60, 盈利: 547.00, 收益率: 0.55%
板块: 西藏板块, 止盈率: 1.15, 止损率: 0.85, 均线: ma5, 盈利: 547.00, 收益率: 0.55%
板块: 西藏板块, 止盈率: 1.15, 止损率: 0.8, 均线: ma30, 盈利: 416.00, 收益率: 0.42%
板块: 西藏板块, 止盈率: 1.15, 止损率: 0.8, 均线: ma20, 盈利: 416.00, 收益率: 0.42%
板块: 西藏板块, 止盈率: 1.15, 止损率: 0.8, 均线: ma60, 盈利: 416.00, 收益率: 0.42%
板块: 西藏板块, 止盈率: 1.15, 止损率: 0.8, 均线: ma5, 盈利: 416.00, 收益率: 0.42%
板块: 西藏板块, 止盈率: 1.15, 止损率: 0.8, 均线: ma45, 盈利: 416.00, 收益率: 0.42%
板块: 西藏板块, 止盈率: 1.15, 止损率: 0.75, 均线: ma5, 盈利: 291.00, 收益率: 0.29%
板块: 西藏板块, 止盈率: 1.15, 止损率: 0.75, 均线: ma10, 盈利: 291.00, 收益率: 0.29%
板块: 西藏板块, 止盈率: 1.15, 止损率: 0.75, 均线: ma20, 盈利: 291.00, 收益率: 0.29%
板块: 西藏板块, 止盈率: 1.15, 止损率: 0.75, 均线: ma30, 盈利: 291.00, 收益率: 0.29%
板块: 西藏板块, 止盈率: 1.15, 止损率: 0.75, 均线: ma45, 盈利: 291.00, 收益率: 0.29%
板块: 西藏板块, 止盈率: 1.15, 止损率: 0.75, 均线: ma60, 盈利: 291.00, 收益率: 0.29%
板块: 西藏板块, 止盈率: 1.15, 止损率: 0.7, 均线: ma5, 盈利: 321.00, 收益率: 0.32%
板块: 西藏板块, 止盈率: 1.15, 止损率: 0.7, 均线: ma10, 盈利: 321.00, 收益率: 0.32%
板块: 西藏板块, 止盈率: 1.15, 止损率: 0.7, 均线: ma20, 盈利: 321.00, 收益率: 0.32%
板块: 西藏板块, 止盈率: 1.15, 止损率: 0.7, 均线: ma30, 盈利: 321.00, 收益率: 0.32%
板块: 西藏板块, 止盈率: 1.15, 止损率: 0.7, 均线: ma60, 盈利: 321.00, 收益率: 0.32%
板块: 西藏板块, 止盈率: 1.15, 止损率: 0.65, 均线: ma10, 盈利: 181.00, 收益率: 0.18%
板块: 西藏板块, 止盈率: 1.15, 止损率: 0.65, 均线: ma5, 盈利: 181.00, 收益率: 0.18%
板块: 西藏板块, 止盈率: 1.15, 止损率: 0.65, 均线: ma45, 盈利: 181.00, 收益率: 0.18%
板块: 西藏板块, 止盈率: 1.15, 止损率: 0.6, 均线: ma5, 盈利: 181.00, 收益率: 0.18%
板块: 西藏板块, 止盈率: 1.15, 止损率: 0.6, 均线: ma10, 盈利: 181.00, 收益率: 0.18%
板块: 西藏板块, 止盈率: 1.15, 止损率: 0.7, 均线: ma45, 盈利: 321.00, 收益率: 0.32%
板块: 西藏板块, 止盈率: 1.15, 止损率: 0.65, 均线: ma20, 盈利: 181.00, 收益率: 0.18%
板块: 西藏板块, 止盈率: 1.15, 止损率: 0.65, 均线: ma30, 盈利: 181.00, 收益率: 0.18%
板块: 西藏板块, 止盈率: 1.15, 止损率: 0.65, 均线: ma60, 盈利: 181.00, 收益率: 0.18%
板块: 西藏板块, 止盈率: 1.15, 止损率: 0.6, 均线: ma20, 盈利: 181.00, 收益率: 0.18%
板块: 西藏板块, 止盈率: 1.15, 止损率: 0.6, 均线: ma30, 盈利: 181.00, 收益率: 0.18%
板块: 西藏板块, 止盈率: 1.15, 止损率: 0.6, 均线: ma45, 盈利: 181.00, 收益率: 0.18%
板块: 西藏板块, 止盈率: 1.2, 止损率: 0.9, 均线: ma5, 盈利: 1268.00, 收益率: 1.27%
板块: 西藏板块, 止盈率: 1.15, 止损率: 0.6, 均线: ma60, 盈利: 181.00, 收益率: 0.18%
板块: 西藏板块, 止盈率: 1.2, 止损率: 0.9, 均线: ma10, 盈利: 1268.00, 收益率: 1.27%
板块: 西藏板块, 止盈率: 1.2, 止损率: 0.9, 均线: ma20, 盈利: 1268.00, 收益率: 1.27%
板块: 西藏板块, 止盈率: 1.2, 止损率: 0.9, 均线: ma30, 盈利: 1268.00, 收益率: 1.27%
板块: 西藏板块, 止盈率: 1.2, 止损率: 0.9, 均线: ma45, 盈利: 1268.00, 收益率: 1.27%
板块: 西藏板块, 止盈率: 1.2, 止损率: 0.9, 均线: ma60, 盈利: 1268.00, 收益率: 1.27%
板块: 西藏板块, 止盈率: 1.2, 止损率: 0.85, 均线: ma5, 盈利: 564.00, 收益率: 0.56%
板块: 西藏板块, 止盈率: 1.2, 止损率: 0.85, 均线: ma45, 盈利: 564.00, 收益率: 0.56%
板块: 西藏板块, 止盈率: 1.2, 止损率: 0.8, 均线: ma5, 盈利: 428.00, 收益率: 0.43%
板块: 西藏板块, 止盈率: 1.2, 止损率: 0.85, 均线: ma30, 盈利: 564.00, 收益率: 0.56%
板块: 西藏板块, 止盈率: 1.2, 止损率: 0.8, 均线: ma10, 盈利: 428.00, 收益率: 0.43%
板块: 西藏板块, 止盈率: 1.2, 止损率: 0.85, 均线: ma10, 盈利: 564.00, 收益率: 0.56%
板块: 西藏板块, 止盈率: 1.2, 止损率: 0.8, 均线: ma30, 盈利: 428.00, 收益率: 0.43%
板块: 西藏板块, 止盈率: 1.2, 止损率: 0.85, 均线: ma20, 盈利: 564.00, 收益率: 0.56%
板块: 西藏板块, 止盈率: 1.2, 止损率: 0.85, 均线: ma60, 盈利: 564.00, 收益率: 0.56%
板块: 西藏板块, 止盈率: 1.2, 止损率: 0.8, 均线: ma20, 盈利: 428.00, 收益率: 0.43%
板块: 西藏板块, 止盈率: 1.2, 止损率: 0.8, 均线: ma45, 盈利: 428.00, 收益率: 0.43%
板块: 西藏板块, 止盈率: 1.2, 止损率: 0.8, 均线: ma60, 盈利: 428.00, 收益率: 0.43%
板块: 西藏板块, 止盈率: 1.2, 止损率: 0.75, 均线: ma5, 盈利: 288.00, 收益率: 0.29%
板块: 西藏板块, 止盈率: 1.2, 止损率: 0.75, 均线: ma20, 盈利: 288.00, 收益率: 0.29%
板块: 西藏板块, 止盈率: 1.2, 止损率: 0.75, 均线: ma10, 盈利: 288.00, 收益率: 0.29%
板块: 西藏板块, 止盈率: 1.2, 止损率: 0.75, 均线: ma30, 盈利: 288.00, 收益率: 0.29%
板块: 西藏板块, 止盈率: 1.2, 止损率: 0.75, 均线: ma45, 盈利: 288.00, 收益率: 0.29%
板块: 西藏板块, 止盈率: 1.2, 止损率: 0.75, 均线: ma60, 盈利: 288.00, 收益率: 0.29%
板块: 西藏板块, 止盈率: 1.2, 止损率: 0.7, 均线: ma10, 盈利: 318.00, 收益率: 0.32%
板块: 西藏板块, 止盈率: 1.2, 止损率: 0.7, 均线: ma5, 盈利: 318.00, 收益率: 0.32%
板块: 西藏板块, 止盈率: 1.2, 止损率: 0.7, 均线: ma20, 盈利: 318.00, 收益率: 0.32%
板块: 西藏板块, 止盈率: 1.2, 止损率: 0.7, 均线: ma30, 盈利: 318.00, 收益率: 0.32%
板块: 西藏板块, 止盈率: 1.2, 止损率: 0.65, 均线: ma10, 盈利: 178.00, 收益率: 0.18%
板块: 西藏板块, 止盈率: 1.2, 止损率: 0.65, 均线: ma5, 盈利: 178.00, 收益率: 0.18%
板块: 西藏板块, 止盈率: 1.2, 止损率: 0.7, 均线: ma45, 盈利: 318.00, 收益率: 0.32%
板块: 西藏板块, 止盈率: 1.2, 止损率: 0.65, 均线: ma20, 盈利: 178.00, 收益率: 0.18%
板块: 西藏板块, 止盈率: 1.2, 止损率: 0.7, 均线: ma60, 盈利: 318.00, 收益率: 0.32%
板块: 西藏板块, 止盈率: 1.2, 止损率: 0.65, 均线: ma45, 盈利: 178.00, 收益率: 0.18%
板块: 西藏板块, 止盈率: 1.2, 止损率: 0.65, 均线: ma30, 盈利: 178.00, 收益率: 0.18%
板块: 西藏板块, 止盈率: 1.2, 止损率: 0.65, 均线: ma60, 盈利: 178.00, 收益率: 0.18%
板块: 西藏板块, 止盈率: 1.2, 止损率: 0.6, 均线: ma5, 盈利: 178.00, 收益率: 0.18%
板块: 西藏板块, 止盈率: 1.2, 止损率: 0.6, 均线: ma20, 盈利: 178.00, 收益率: 0.18%
板块: 西藏板块, 止盈率: 1.2, 止损率: 0.6, 均线: ma10, 盈利: 178.00, 收益率: 0.18%
板块: 西藏板块, 止盈率: 1.2, 止损率: 0.6, 均线: ma45, 盈利: 178.00, 收益率: 0.18%
板块: 西藏板块, 止盈率: 1.2, 止损率: 0.6, 均线: ma30, 盈利: 178.00, 收益率: 0.18%
板块: 西藏板块, 止盈率: 1.2, 止损率: 0.6, 均线: ma60, 盈利: 178.00, 收益率: 0.18%
板块: 西藏板块, 止盈率: 1.25, 止损率: 0.9, 均线: ma5, 盈利: 1419.00, 收益率: 1.42%
板块: 西藏板块, 止盈率: 1.25, 止损率: 0.9, 均线: ma10, 盈利: 1419.00, 收益率: 1.42%
板块: 西藏板块, 止盈率: 1.25, 止损率: 0.9, 均线: ma30, 盈利: 1419.00, 收益率: 1.42%
