trade_date,total_profit_rate,total_value,cash,market_cap,index_total_profit_rate,trade_log
2025-01-02,-1.90%,98100.00,5677.00,92423.0,-2.83%,"{'300798.XSHE': {'Operation': '买入', 'amount': 100, 'buy_price': 7.1}, '002559.XSHE': {'Operation': '买入', 'amount': 100, 'buy_price': 8.9}, '301058.XSHE': {'Operation': '买入', 'amount': 100, 'buy_price': 10.56}, '600736.XSHG': {'Operation': '买入', 'amount': 100, 'buy_price': 6.11}, '688678.XSHG': {'Operation': '买入', 'amount': 100, 'buy_price': 14.95}, '000551.XSHE': {'Operation': '买入', 'amount': 100, 'buy_price': 11.94}, '603313.XSHG': {'Operation': '买入', 'amount': 100, 'buy_price': 6.7}, '688221.XSHG': {'Operation': '买入', 'amount': 100, 'buy_price': 9.8}, '002201.XSHE': {'Operation': '买入', 'amount': 100, 'buy_price': 5.19}, '603876.XSHG': {'Operation': '买入', 'amount': 100, 'buy_price': 8.89}, '002540.XSHE': {'Operation': '买入', 'amount': 100, 'buy_price': 5.93}, '300447.XSHE': {'Operation': '买入', 'amount': 100, 'buy_price': 14.01}, '002514.XSHE': {'Operation': '买入', 'amount': 100, 'buy_price': 8.01}, '603528.XSHG': {'Operation': '买入', 'amount': 100, 'buy_price': 7.85}, '002015.XSHE': {'Operation': '买入', 'amount': 100, 'buy_price': 7.76}, '300402.XSHE': {'Operation': '买入', 'amount': 100, 'buy_price': 14.75}, '300172.XSHE': {'Operation': '买入', 'amount': 100, 'buy_price': 5.0}, '600682.XSHG': {'Operation': '买入', 'amount': 100, 'buy_price': 6.83}, '600557.XSHG': {'Operation': '买入', 'amount': 100, 'buy_price': 13.59}, '300975.XSHE': {'Operation': '买入', 'amount': 100, 'buy_price': 11.15}, '603819.XSHG': {'Operation': '买入', 'amount': 100, 'buy_price': 12.08}, '603018.XSHG': {'Operation': '买入', 'amount': 100, 'buy_price': 8.2}, '002708.XSHE': {'Operation': '买入', 'amount': 100, 'buy_price': 11.14}, '002040.XSHE': {'Operation': '买入', 'amount': 100, 'buy_price': 6.56}, '300806.XSHE': {'Operation': '买入', 'amount': 100, 'buy_price': 13.0}, '600481.XSHG': {'Operation': '买入', 'amount': 100, 'buy_price': 5.48}, '002333.XSHE': {'Operation': '买入', 'amount': 100, 'buy_price': 5.15}, '603013.XSHG': {'Operation': '买入', 'amount': 100, 'buy_price': 14.98}, '605167.XSHG': {'Operation': '买入', 'amount': 100, 'buy_price': 9.52}, '600973.XSHG': {'Operation': '买入', 'amount': 100, 'buy_price': 5.8}, '002255.XSHE': {'Operation': '买入', 'amount': 100, 'buy_price': 5.59}, '300304.XSHE': {'Operation': '买入', 'amount': 100, 'buy_price': 7.93}, '603158.XSHG': {'Operation': '买入', 'amount': 100, 'buy_price': 8.08}, '300655.XSHE': {'Operation': '买入', 'amount': 100, 'buy_price': 9.35}, '603291.XSHG': {'Operation': '买入', 'amount': 100, 'buy_price': 11.63}, '603680.XSHG': {'Operation': '买入', 'amount': 100, 'buy_price': 8.4}, '688496.XSHG': {'Operation': '买入', 'amount': 100, 'buy_price': 8.54}, '603776.XSHG': {'Operation': '买入', 'amount': 100, 'buy_price': 12.97}, '603900.XSHG': {'Operation': '买入', 'amount': 100, 'buy_price': 5.55}, '002391.XSHE': {'Operation': '买入', 'amount': 100, 'buy_price': 5.0}, '603136.XSHG': {'Operation': '买入', 'amount': 100, 'buy_price': 11.1}, '603985.XSHG': {'Operation': '买入', 'amount': 100, 'buy_price': 11.68}, '300682.XSHE': {'Operation': '买入', 'amount': 100, 'buy_price': 12.2}, '300284.XSHE': {'Operation': '买入', 'amount': 100, 'buy_price': 10.04}, '603066.XSHG': {'Operation': '买入', 'amount': 100, 'buy_price': 10.57}, '601133.XSHG': {'Operation': '买入', 'amount': 100, 'buy_price': 11.23}, '002150.XSHE': {'Operation': '买入', 'amount': 100, 'buy_price': 12.3}, '300160.XSHE': {'Operation': '买入', 'amount': 100, 'buy_price': 5.34}, '603299.XSHG': {'Operation': '买入', 'amount': 100, 'buy_price': 11.16}, '002585.XSHE': {'Operation': '买入', 'amount': 100, 'buy_price': 5.34}, '002182.XSHE': {'Operation': '买入', 'amount': 100, 'buy_price': 11.29}, '001236.XSHE': {'Operation': '买入', 'amount': 100, 'buy_price': 9.61}, '002221.XSHE': {'Operation': '买入', 'amount': 100, 'buy_price': 9.49}, '300522.XSHE': {'Operation': '买入', 'amount': 100, 'buy_price': 12.54}, '002293.XSHE': {'Operation': '买入', 'amount': 100, 'buy_price': 7.38}, '301116.XSHE': {'Operation': '买入', 'amount': 100, 'buy_price': 12.3}, '300715.XSHE': {'Operation': '买入', 'amount': 100, 'buy_price': 7.5}, '000936.XSHE': {'Operation': '买入', 'amount': 100, 'buy_price': 7.93}, '688257.XSHG': {'Operation': '买入', 'amount': 100, 'buy_price': 12.76}, '301090.XSHE': {'Operation': '买入', 'amount': 100, 'buy_price': 6.94}, '300933.XSHE': {'Operation': '买入', 'amount': 100, 'buy_price': 8.34}, '603912.XSHG': {'Operation': '买入', 'amount': 100, 'buy_price': 8.12}, '688046.XSHG': {'Operation': '买入', 'amount': 100, 'buy_price': 12.89}, '000570.XSHE': {'Operation': '买入', 'amount': 100, 'buy_price': 5.08}, '300429.XSHE': {'Operation': '买入', 'amount': 100, 'buy_price': 11.98}, '603990.XSHG': {'Operation': '买入', 'amount': 100, 'buy_price': 10.23}, '603125.XSHG': {'Operation': '买入', 'amount': 100, 'buy_price': 13.13}, '300507.XSHE': {'Operation': '买入', 'amount': 100, 'buy_price': 6.7}, '600327.XSHG': {'Operation': '买入', 'amount': 100, 'buy_price': 5.35}, '601222.XSHG': {'Operation': '买入', 'amount': 100, 'buy_price': 6.82}, '603707.XSHG': {'Operation': '买入', 'amount': 100, 'buy_price': 13.22}, '002387.XSHE': {'Operation': '买入', 'amount': 100, 'buy_price': 10.35}, '603915.XSHG': {'Operation': '买入', 'amount': 100, 'buy_price': 11.63}, '002531.XSHE': {'Operation': '买入', 'amount': 100, 'buy_price': 7.89}, '300265.XSHE': {'Operation': '买入', 'amount': 100, 'buy_price': 8.18}, '002519.XSHE': {'Operation': '买入', 'amount': 100, 'buy_price': 5.9}, '603366.XSHG': {'Operation': '买入', 'amount': 100, 'buy_price': 11.85}, '300528.XSHE': {'Operation': '买入', 'amount': 100, 'buy_price': 8.86}, '603387.XSHG': {'Operation': '买入', 'amount': 100, 'buy_price': 8.22}, '300393.XSHE': {'Operation': '买入', 'amount': 100, 'buy_price': 6.25}, '002104.XSHE': {'Operation': '买入', 'amount': 100, 'buy_price': 6.75}, '002685.XSHE': {'Operation': '买入', 'amount': 100, 'buy_price': 6.66}, '600775.XSHG': {'Operation': '买入', 'amount': 100, 'buy_price': 10.0}, '002367.XSHE': {'Operation': '买入', 'amount': 100, 'buy_price': 6.58}, '600389.XSHG': {'Operation': '买入', 'amount': 100, 'buy_price': 14.45}, '600268.XSHG': {'Operation': '买入', 'amount': 100, 'buy_price': 6.7}, '603626.XSHG': {'Operation': '买入', 'amount': 100, 'buy_price': 7.8}, '600710.XSHG': {'Operation': '买入', 'amount': 100, 'buy_price': 9.25}, '300819.XSHE': {'Operation': '买入', 'amount': 100, 'buy_price': 12.87}, '300258.XSHE': {'Operation': '买入', 'amount': 100, 'buy_price': 8.88}, '603519.XSHG': {'Operation': '买入', 'amount': 100, 'buy_price': 11.84}, '601952.XSHG': {'Operation': '买入', 'amount': 100, 'buy_price': 9.78}, '002553.XSHE': {'Operation': '买入', 'amount': 100, 'buy_price': 12.86}, '300261.XSHE': {'Operation': '买入', 'amount': 100, 'buy_price': 6.86}, '603117.XSHG': {'Operation': '买入', 'amount': 100, 'buy_price': 6.09}, '003015.XSHE': {'Operation': '买入', 'amount': 100, 'buy_price': 14.12}, '300196.XSHE': {'Operation': '买入', 'amount': 100, 'buy_price': 10.69}, '600078.XSHG': {'Operation': '买入', 'amount': 100, 'buy_price': 5.77}, '603693.XSHG': {'Operation': '买入', 'amount': 100, 'buy_price': 9.85}, '301078.XSHE': {'Operation': '买入', 'amount': 100, 'buy_price': 11.22}, '301016.XSHE': {'Operation': '买入', 'amount': 100, 'buy_price': 14.55}}"
2025-01-03,-5.47%,94534.00,5007.00,89527.0,-3.98%,"{'600327.XSHG': {'Operation': '清仓', 'amount': 100, 'sell_price': 5.91}, '300708.XSHE': {'Operation': '买入', 'amount': 100, 'buy_price': 12.61}}"
2025-01-06,-5.75%,94252.00,118.00,94134.0,-4.14%,"{'300798.XSHE': {'Operation': '补仓', 'amount': 100, 'buy_price': 6.28}, '600736.XSHG': {'Operation': '补仓', 'amount': 100, 'buy_price': 5.45}, '300447.XSHE': {'Operation': '补仓', 'amount': 100, 'buy_price': 12.2}, '002708.XSHE': {'Operation': '补仓', 'amount': 100, 'buy_price': 9.6}, '600973.XSHG': {'Operation': '补仓', 'amount': 100, 'buy_price': 4.85}, '603985.XSHG': {'Operation': '补仓', 'amount': 100, 'buy_price': 10.51}}"
2025-01-07,-3.59%,96406.00,118.00,96288.0,-3.45%,{}
2025-01-08,-3.56%,96437.00,1824.00,94613.0,-3.63%,"{'300715.XSHE': {'Operation': '清仓', 'amount': 100, 'sell_price': 9.74}, '000936.XSHE': {'Operation': '补仓', 'amount': 100, 'buy_price': 7.03}, '300708.XSHE': {'Operation': '清仓', 'amount': 100, 'sell_price': 14.35}}"
2025-01-09,-2.72%,97284.00,2534.00,94750.0,-3.86%,"{'300682.XSHE': {'Operation': '补仓', 'amount': 100, 'buy_price': 10.81}, '300933.XSHE': {'Operation': '补仓', 'amount': 100, 'buy_price': 7.38}, '603990.XSHG': {'Operation': '清仓', 'amount': 100, 'sell_price': 11.8}, '603366.XSHG': {'Operation': '清仓', 'amount': 100, 'sell_price': 13.49}}"
2025-01-10,-5.66%,94342.00,3259.00,91083.0,-5.07%,"{'300798.XSHE': {'Operation': '补仓', 'amount': 100, 'buy_price': 5.96}, '603291.XSHG': {'Operation': '清仓', 'amount': 100, 'sell_price': 13.21}}"
2025-01-13,-5.66%,94344.00,181.00,94163.0,-5.32%,"{'300798.XSHE': {'Operation': '补仓', 'amount': 100, 'buy_price': 5.47}, '301058.XSHE': {'Operation': '补仓', 'amount': 100, 'buy_price': 9.5}, '600736.XSHG': {'Operation': '补仓', 'amount': 100, 'buy_price': 5.0}, '002201.XSHE': {'Operation': '补仓', 'amount': 100, 'buy_price': 4.67}, '600682.XSHG': {'Operation': '补仓', 'amount': 100, 'buy_price': 6.14}}"
2025-01-14,-1.10%,98898.00,477.00,98421.0,-2.83%,"{'603158.XSHG': {'Operation': '清仓', 'amount': 100, 'sell_price': 9.56}, '000936.XSHE': {'Operation': '补仓', 'amount': 100, 'buy_price': 6.6}}"
2025-01-15,-1.72%,98284.00,634.00,97650.0,-3.45%,"{'600973.XSHG': {'Operation': '补仓', 'amount': 100, 'buy_price': 4.58}, '002255.XSHE': {'Operation': '清仓', 'amount': 100, 'sell_price': 6.15}}"
