stock_code,is_position,position,cost_price,price,profit,profit_rate
603071.XSHG,False,100,12.42,12.78,36.00,2.90
002034.XSHE,False,100,16.75,17.92,117.00,6.99
605007.XSHG,False,100,11.17,15.31,414.00,37.06
601882.XSHG,False,100,18.52,26.24,772.00,41.68
603266.XSHG,False,100,17.33,22.8,547.00,31.56
002332.XSHE,True,100,9.78,9.27,-51.00,-5.21
603171.XSHG,False,100,27.53,35.86,833.00,30.26
605277.XSHG,True,100,16.150000000000002,15.79,-36.00,-2.23
601921.XSHG,False,100,8.23,9.65,142.00,17.25
603075.XSHG,False,100,19.740000000000002,20.15,41.00,2.08
002444.XSHE,True,100,27.95,24.4,-355.00,-12.70
603711.XSHG,False,100,15.18,19.79,461.00,30.37
603949.XSHG,False,100,14.270000000000001,21.21,694.00,48.63
603303.XSHG,True,100,12.7,12.38,-32.00,-2.52
603173.XSHG,False,100,24.93,32.64,771.00,30.93
603105.XSHG,True,100,9.0,8.39,-61.00,-6.78
603551.XSHG,False,100,10.930000000000001,10.4,-53.00,-4.85
603997.XSHG,False,100,11.71,14.43,272.00,23.23
603010.XSHG,False,100,9.18,12.04,286.00,31.15
603583.XSHG,False,100,21.42,28.5,708.00,33.05
301507.XSHE,False,100,11.64,14.21,257.00,22.08
601116.XSHG,False,100,10.25,13.62,337.00,32.88
603004.XSHG,False,100,18.66,27.5,884.00,47.37
301201.XSHE,False,100,19.84,22.91,307.00,15.47
002931.XSHE,False,100,18.2,16.22,-198.00,-10.88
605060.XSHG,False,100,18.2,23.86,566.00,31.10
605337.XSHG,False,100,10.13,13.77,364.00,35.93
600933.XSHG,False,200,16.305,16.74,87.00,2.67
002725.XSHE,False,100,13.04,12.03,-101.00,-7.75
002326.XSHE,False,100,11.63,11.38,-25.00,-2.15
002244.XSHE,False,100,10.55,10.54,-1.00,-0.09
605018.XSHG,True,100,10.17,11.39,122.00,12.00
605179.XSHG,True,100,21.8,21.46,-34.00,-1.56
603095.XSHG,False,100,21.55,28.72,717.00,33.27
002801.XSHE,False,100,22.55,25.45,290.00,12.86
603701.XSHG,False,100,15.17,16.26,109.00,7.19
603995.XSHG,True,100,16.6,16.74,14.00,0.84
002430.XSHE,False,100,20.79,27.31,652.00,31.36
600283.XSHG,False,100,9.98,10.54,56.00,5.61
603070.XSHG,True,100,11.86,12.96,110.00,9.27
600776.XSHG,True,100,10.15,10.55,40.00,3.94
002048.XSHE,False,100,16.33,18.39,206.00,12.61
301212.XSHE,False,100,21.25,28.5,725.00,34.12
603165.XSHG,False,100,13.06,11.59,-147.00,-11.26
603948.XSHG,False,100,17.69,19.79,210.00,11.87
605259.XSHG,True,100,17.53,18.28,75.00,4.28
605008.XSHG,False,100,15.8,17.8,200.00,12.66
603896.XSHG,False,100,26.59,23.35,-324.00,-12.19
301119.XSHE,False,100,26.87,36.02,915.00,34.05
002095.XSHE,True,100,20.05,20.4,35.00,1.75
001380.XSHE,False,100,20.14,23.92,378.00,18.77
301055.XSHE,False,100,14.66,21.8,714.00,48.70
003041.XSHE,False,100,22.07,30.28,821.00,37.20
600884.XSHG,False,100,8.25,8.3,5.00,0.61
002011.XSHE,True,100,11.64,11.59,-5.00,-0.43
603258.XSHG,True,100,20.09,20.12,3.00,0.15
603301.XSHG,False,100,21.8,24.01,221.00,10.14
605555.XSHG,False,200,22.805,20.35,-491.00,-10.77
603181.XSHG,False,100,11.89,12.95,106.00,8.92
605166.XSHG,False,100,10.35,14.18,383.00,37.00
603867.XSHG,True,100,24.35,24.29,-6.00,-0.25
000913.XSHE,True,100,18.09,16.29,-180.00,-9.95
600927.XSHG,False,100,12.760000000000002,12.43,-33.00,-2.59
002840.XSHE,False,100,13.260000000000002,11.65,-161.00,-12.14
301082.XSHE,False,100,13.72,17.99,427.00,31.12
002937.XSHE,False,100,20.060000000000002,17.8,-226.00,-11.27
603665.XSHG,False,100,17.45,19.74,229.00,13.12
605378.XSHG,False,100,26.0,23.1,-290.00,-11.15
301225.XSHE,False,100,25.37,33.0,763.00,30.07
002126.XSHE,True,100,27.990000000000002,26.71,-128.00,-4.57
002003.XSHE,True,100,11.12,11.24,12.00,1.08
002534.XSHE,True,100,11.47,11.27,-20.00,-1.74
601233.XSHG,False,100,13.35,14.88,153.00,11.46
603225.XSHG,False,100,12.9,13.9,100.00,7.75
603219.XSHG,False,100,15.38,20.31,493.00,32.05
605228.XSHG,True,100,11.43,11.43,0.00,0.00
301052.XSHE,False,100,27.85,23.96,-389.00,-13.97
605377.XSHG,False,100,11.57,13.95,238.00,20.57
002119.XSHE,True,100,15.25,15.52,27.00,1.77
603239.XSHG,False,100,12.81,15.73,292.00,22.79
600633.XSHG,True,100,13.85,13.13,-72.00,-5.20
605005.XSHG,False,100,15.01,18.6,359.00,23.92
603733.XSHG,True,100,22.44,20.89,-155.00,-6.91
002273.XSHE,True,100,19.64,19.52,-12.00,-0.61
301216.XSHE,True,100,13.13,13.99,86.00,6.55
002214.XSHE,False,100,12.23,14.23,200.00,16.35
002006.XSHE,False,100,16.11,19.58,347.00,21.54
301252.XSHE,False,100,27.31,34.27,696.00,25.49
605068.XSHG,False,100,16.63,22.4,577.00,34.70
603186.XSHG,True,100,26.35,26.5,15.00,0.57
