# 回测结果（按收益率排序）
===========================================

## 排序后的回测结果
1. 板块: 江苏板块, 止盈率: 1.1, 止损率: 0.9, 均线: ma5, 盈利: 26802.00, 收益率: 26.80%
2. 板块: 北京板块, 止盈率: 1.2, 止损率: 0.9, 均线: ma60, 盈利: 25077.00, 收益率: 25.08%
3. 板块: 浙江板块, 止盈率: 1.1, 止损率: 0.85, 均线: ma5, 盈利: 25057.00, 收益率: 25.06%
4. 板块: 江苏板块, 止盈率: 1.1, 止损率: 0.9, 均线: ma60, 盈利: 24375.00, 收益率: 24.38%
5. 板块: 北京板块, 止盈率: 1.2, 止损率: 0.9, 均线: ma45, 盈利: 23523.00, 收益率: 23.52%
6. 板块: 江苏板块, 止盈率: 1.1, 止损率: 0.9, 均线: ma45, 盈利: 23439.00, 收益率: 23.44%
7. 板块: 北京板块, 止盈率: 1.2, 止损率: 0.9, 均线: ma10, 盈利: 22747.00, 收益率: 22.75%
8. 板块: 江苏板块, 止盈率: 1.1, 止损率: 0.85, 均线: ma30, 盈利: 22557.00, 收益率: 22.56%
9. 板块: 北京板块, 止盈率: 1.2, 止损率: 0.9, 均线: ma20, 盈利: 22437.00, 收益率: 22.44%
10. 板块: 浙江板块, 止盈率: 1.15, 止损率: 0.9, 均线: ma5, 盈利: 22201.00, 收益率: 22.20%
11. 板块: 北京板块, 止盈率: 1.2, 止损率: 0.9, 均线: ma30, 盈利: 22099.00, 收益率: 22.10%
12. 板块: 北京板块, 止盈率: 1.3, 止损率: 0.85, 均线: ma60, 盈利: 22100.00, 收益率: 22.10%
13. 板块: 江苏板块, 止盈率: 1.1, 止损率: 0.85, 均线: ma10, 盈利: 21822.00, 收益率: 21.82%
14. 板块: 北京板块, 止盈率: 1.2, 止损率: 0.9, 均线: ma5, 盈利: 21733.00, 收益率: 21.73%
15. 板块: 北京板块, 止盈率: 1.25, 止损率: 0.9, 均线: ma60, 盈利: 21717.00, 收益率: 21.72%
16. 板块: 浙江板块, 止盈率: 1.15, 止损率: 0.75, 均线: ma30, 盈利: 21708.00, 收益率: 21.71%
17. 板块: 四川板块, 止盈率: 1.35, 止损率: 0.9, 均线: ma30, 盈利: 21568.00, 收益率: 21.57%
18. 板块: 北京板块, 止盈率: 1.15, 止损率: 0.9, 均线: ma60, 盈利: 21554.00, 收益率: 21.55%
19. 板块: 江苏板块, 止盈率: 1.1, 止损率: 0.85, 均线: ma5, 盈利: 21397.00, 收益率: 21.40%
20. 板块: 浙江板块, 止盈率: 1.1, 止损率: 0.8, 均线: ma5, 盈利: 21388.00, 收益率: 21.39%
21. 板块: 北京板块, 止盈率: 1.3, 止损率: 0.85, 均线: ma45, 盈利: 21312.00, 收益率: 21.31%
22. 板块: 浙江板块, 止盈率: 1.2, 止损率: 0.75, 均线: ma10, 盈利: 21302.00, 收益率: 21.30%
23. 板块: 江苏板块, 止盈率: 1.1, 止损率: 0.85, 均线: ma20, 盈利: 21273.00, 收益率: 21.27%
24. 板块: 北京板块, 止盈率: 1.3, 止损率: 0.9, 均线: ma60, 盈利: 21201.00, 收益率: 21.20%
25. 板块: 四川板块, 止盈率: 1.35, 止损率: 0.9, 均线: ma45, 盈利: 21101.00, 收益率: 21.10%
26. 板块: 北京板块, 止盈率: 1.25, 止损率: 0.9, 均线: ma10, 盈利: 21093.00, 收益率: 21.09%
27. 板块: 浙江板块, 止盈率: 1.15, 止损率: 0.85, 均线: ma5, 盈利: 21014.00, 收益率: 21.01%
